screen_name,chinese_name
elonmusk,埃隆·马斯克
OpenAI,OpenAI
mingchikuo,明池郭
gdb,gdb
sama,Sama
sundarpichai,桑达尔·皮查伊
tim_cook,蒂姆·库克
satyanadella,萨提亚·纳德拉
miramurati,Mira Murati
neuralink,Neuralink
theapplehub,The Apple Hub
LumaLabsAl,Luma Labs AI
markgurman,马克·古尔曼
TashaARK,Tasha ARK
jerryjliu0,Jerry Liu
AravSrinivas,Arav Srinivas
AnimaAnandkumar,Anima Anandkumar
marcusborba,Marcus Borba
erikbryn,Erik Brynjolfsson
RonaldvanLoon,Ronald van Loon
AIatMeta,AI at Meta
ylecun,Yann LeCun
demishassabis,Demis Hassabis
drfeifei,Fei-Fei Li
lexfridman,Lex Fridman
OfficialLogank,Logan Koonce
GoogleAI,Google AI
ikostrikov,Ilya Kostrikov
DrJimFan,Jim Fan
geoffreyhinton,Geoffrey Hinton
